Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Ejinaqi8, Neimeng",40¡59«N,99¡25«E,1300,53,Desert,Nitraria sibirica Pall.,No,AM,-25.59,6.14,
"Ejinaqi8, Neimeng",40¡59«N,99¡25«E,1300,53,Desert,Ephedra przewalskii Stapf.,No,Non,-23.69,2.45,
"Ejinaqi8, Neimeng",40¡59«N,99¡25«E,1300,53,Desert,Calligonum mongolicum Turcz.,No,AM,-13.75,6.12,
"Gedaxiang, Neimeng",40¡45«N,100¡24«E,1400,58.6,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-25.58,0.18,
"Gedaxiang, Neimeng",40¡45«N,100¡24«E,1400,58.6,Desert,Nitraria sibirica Pall.,No,AM,-26.48,5.87,
"Gedaxiang, Neimeng",40¡45«N,100¡24«E,1400,58.6,Desert,Ephedra przewalskii Stapf.,No,Non,-27.01,0.63,
"Shibanquan, Neimeng",40¡32«N,100¡29«E,1320,56.7,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-24.84,1.87,
"Shibanquan, Neimeng",40¡32«N,100¡29«E,1320,56.7,Desert,Nitraria sibirica Pall.,No,AM,-24.82,6.92,
"Shibanquan, Neimeng",40¡32«N,100¡29«E,1320,56.7,Desert,Ephedra przewalskii Stapf.,No,Non,-26.83,1.06,
"Shibanquan, Neimeng",40¡32«N,100¡29«E,1320,56.7,Desert,Hedysarum mongolicum Turcz.,Yes,AM,-25.99,3.73,
"Luogezhuang, Neimeng",39¡55«N,100¡57«E,1390,90.1,Desert,Nitraria sibirica Pall.,No,AM,-23.97,6.7,
"Luogezhuang, Neimeng",39¡55«N,100¡57«E,1390,90.1,Desert,Calligonum mongolicum Turcz.,No,AM,-14.26,1.61,
"Yanchixiang, Neimeng",39¡47«N,101¡13«E,1340,94.6,Saline land,Tamarix ramosissima Ledeb.,No,AM,-27.74,8.68,
"Yanchixiang, Neimeng",39¡47«N,101¡13«E,1340,94.6,Saline land,Kalidium cuspidatum (Ung.-Sternb.) Grub.,No,Non,-26.32,12.96,
"Luochengxiang, Neimeng",39¡43«N,101¡25«E,1320,105.3,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-27.92,3.32,
"Luochengxiang, Neimeng",39¡43«N,101¡25«E,1320,105.3,Desert,Nitraria sibirica Pall.,Yes,AM,-25.99,4.01,
"Luochengxiang, Neimeng",39¡43«N,101¡25«E,1320,105.3,Desert,Ephedra przewalskii Stapf.,No,Non,-25.4,1,
"Shadan, Ningxia",38¡46«N,106¡10«E,1830,194.3,Desert,Hedysarum mongolicum Turcz.,Yes,AM,-24.41,4.63,
"Shadan, Ningxia",38¡46«N,106¡10«E,1830,194.3,Desert,Artemisia arenaria DC.,No,AM,-26.31,1.72,
"Shadan, Ningxia",38¡46«N,106¡10«E,1830,194.3,Desert,Sophora alopecuroides L.,Yes,AM,-26.4,2.66,
"Shadan, Ningxia",38¡46«N,106¡10«E,1830,194.3,Desert,Zygophyllum gobicum Maxim.,No,AM,-24.5,1.71,
"Tufosi, Ningxia",38¡17«N,106¡06«E,1870,205.9,Shrubs,Reaumuria soongorica (Pall.) Maxim.,No,AM,-25.68,-3.94,
"Tufosi, Ningxia",38¡17«N,106¡06«E,1870,205.9,Shrubs,Caragana microphylla Laxm.,Yes,AM,-25.77,-1.67,
"Tufosi, Ningxia",38¡17«N,106¡06«E,1870,205.9,Shrubs,Artemisia arenaria DC.,No,AM,-25.08,-0.47,
"Tufosi, Ningxia",38¡17«N,106¡06«E,1870,205.9,Shrubs,Artemisia anethoides Mattf.,No,AM,-25.82,-0.79,
"Jinchuan, Gansu",38¡41«N,102¡18«E,1420,138.6,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-25.13,0.32,
"Jinchuan, Gansu",38¡41«N,102¡18«E,1420,138.6,Desert,Nitraria sibirica Pall.,No,AM,-26.14,5.25,
"Ayouqi, Neimeng",39¡10«N,101¡44«E,1580,116.6,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-25.51,0.52,
"Ayouqi, Neimeng",39¡10«N,101¡44«E,1580,116.6,Desert,Zygophyllum gobicum Maxim.,No,AM,-23.01,3.7,
"Mingqingcijingzi, Gansu",39¡01«N,101¡59«E,1400,124.5,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-24.13,0.05,
"Mingqingcijingzi, Gansu",39¡01«N,101¡59«E,1400,124.5,Desert,Nitraria sibirica Pall.,No,AM,-25.38,5.86,
"Mingqingtaojiajing, Gansu",38¡57«N,102¡16«E,1340,121.4,Desert,Nitraria sibirica Pall.,No,AM,-26.35,7.17,
