Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Jilantaijinsanjiao, Neimeng",39¡30«N,105¡36«E,1070,113.2,Desert,Nitraria sibirica Pall.,No,AM,-25.02,10.71,
"Jilantaijinsanjiao, Neimeng",39¡30«N,105¡36«E,1070,113.2,Desert,Zygophyllum gobicum Maxim.,Yes,AM,-26.72,1.83,
"Jilantaibangbugetata, Neimeng",39¡35«N,105¡17«E,1230,115.9,Desert,Nitraria sibirica Pall.,No,AM,-28.27,8.54,
"Jilantaibangbugetata, Neimeng",39¡35«N,105¡17«E,1230,115.9,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-25.58,1.83,
"Jilantaibangbugetata, Neimeng",39¡35«N,105¡17«E,1230,115.9,Desert,Peganum harmala L.,No,AM,-25.92,6.83,
"Suhaitu1, Neimeng",39¡47«N,105¡04«E,1440,112,Desert,Salsola passerina Bge. ,No,Non,-13.69,6.05,
"Suhaitu1, Neimeng",39¡47«N,105¡04«E,1440,112,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-26.72,3.15,
"Suhaitu1, Neimeng",39¡47«N,105¡04«E,1440,112,Desert,Peganum harmala L.,No,AM,-25.02,10.17,
"Suhaitu1, Neimeng",39¡47«N,105¡04«E,1440,112,Desert,Lycium ruthenicum Murr.,No,AM,-26.17,3.15,
"Suhaitu2, Neimeng",39¡58«N,104¡54«E,1580,110.2,Desert,Lycium ruthenicum Murr.,No,AM,-26.17,4.56,
"Suhaitu2, Neimeng",39¡58«N,104¡54«E,1580,110.2,Desert,Peganum harmala L.,No,AM,-26.72,3.15,
"Suhaitu2, Neimeng",39¡58«N,104¡54«E,1580,110.2,Desert,Salsola passerina Bge.,No,Non,-13.69,6.05,
"Suhaitu2, Neimeng",39¡58«N,104¡54«E,1580,110.2,Desert,Calligonum mongolicum Trucz.,No,,-14.32,1.01,
"Suhaitu2, Neimeng",39¡58«N,104¡54«E,1580,110.2,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-26.34,1.62,
"Suhaitu3, Neimeng",40¡05«N,104¡53«E,1390,108.1,Desert,Reaumuria soongorica (Pall.) Maxim.,No,AM,-26.83,1.06,
"Suhaitu3, Neimeng",40¡05«N,104¡53«E,1390,108.1,Desert,Nitraria sibirica Pall.,No,AM,-28.37,5.21,
